source_text,translated_text,context
View error/skipped rows,Xem dòng lỗi/bị bỏ qua chưa import,
View Plan,Xem kế hoạch,
Warning,Cảnh báo,
Write Data,Ghi dữ liệu,
Write Invoice,Ghi invoice,
Write Stock Reco,Ghi Stock Reco,
Write JE,Tạo bút toán,
You can close this window; results will still arrive via realtime notification.,Bạn có thể đóng cửa sổ này; kết quả vẫn sẽ tới qua thông báo realtime.,
"You can still re-import, but missing required data may fail again.","Bạn vẫn có thể bấm 'Import lại' - nếu các dòng này thiếu data bắt buộc, lần import sau có thể tiếp tục lỗi.",
Your Feedback for AI,Ý kiến của bạn cho AI,
{0} feedback,{0} ý kiến,
{0} rejected changes (protected data),{0} sửa đổi bị từ chối (data quan trọng được bảo vệ),
"{0} file(s) will generate Opening Journal Entries","{0} file sẽ tạo bút toán đầu kỳ",
AI Column Plan,Kế hoạch cột AI,
AI classification,Phân loại AI,
AI Journal,Bút toán AI,
AI Plan,Kế hoạch AI,
Analyzing uploaded files...,Đang phân tích file đã upload...,
Bank Account,Tài khoản ngân hàng,
Bank Created,Tài khoản NH đã tạo,
Bank Errors,Lỗi tài khoản NH,
Bank Existing,Tài khoản NH đã có,
CCDC,Công cụ dụng cụ,
CPTT,Chi phí trả trước,
Create AI-Planned Journal Entries,Tạo bút toán theo kế hoạch AI,
Create JE,Tạo bút toán,
"Create Minimal Customer/Supplier/Employee/Bank Account","Tạo tối thiểu KH/NCC/NV/TK ngân hàng",
Creating AI-Planned Journal Entries,Đang tạo bút toán theo kế hoạch AI,
Creating AI Journal Entries...,Đang tạo bút toán AI...,
Docstatus,Trạng thái chứng từ,
Empty,Trống,
Handler,Bộ xử lý,
No AI Plans Found,Không tìm thấy kế hoạch AI,
"Normalizing amounts, dates, and master links.","Đang chuẩn hóa số tiền, ngày và liên kết danh mục.",
Opening Stock Warnings,Cảnh báo tồn kho đầu kỳ,
Please select an .xlsx or .xls file.,Vui lòng chọn file .xlsx hoặc .xls.,
Python hardcode,Xử lý Python cố định,
Read AI Plans,Đọc kế hoạch AI,
Read Rows,Đọc dòng dữ liệu,
Remove file,Xóa file,
Replace,Thay thế,
Replace files in this opening import server folder,Thay thế file trong thư mục server,
Resolve Accounts,Khớp tài khoản,
Stock Reconciliation draft,Stock Reconciliation nháp,
Submit,Nộp,
Submitted,Đã nộp,
Temporary Opening,Tạm thời đầu kỳ,
"The AI identified debit/credit account numbers and amount columns from each file. Python reads the rows and creates one Opening Entry per file.","AI đã xác định số tài khoản Nợ/Có và cột số tiền từ mỗi file. Python đọc từng dòng và tạo một bút toán đầu kỳ cho mỗi file.",
Upload and Analyze,Upload và phân tích,
Uploading opening Excel files,Đang upload file Excel đầu kỳ,
Uploading opening Excel files to server...,Đang upload file Excel đầu kỳ lên server...,
User confirmed,Đã xác nhận,
Wrong file type,Sai loại file,
"Creates one Opening Journal Entry per file where AI has identified debit/credit accounts and the amount column.","AI đã xác định TK Nợ/Có và cột số tiền cho từng file. Python đọc từng dòng và tạo 1 bút toán đầu kỳ cho mỗi file.",
Customer,Khách hàng,
Each uploaded file must not exceed {0}.,Mỗi file upload không được vượt quá {0}.,
Employee,Nhân viên,
File Too Large,File quá lớn,
Import,Import,
Import Purchase Invoice...,Đang import hóa đơn mua vào...,
Import Sales Invoice...,Đang import hóa đơn bán ra...,
Import {0},Import {0},
Journal Entry,Bút toán,
Journal Entry draft,Bút toán nháp,
Migration,Chuyển dữ liệu,
Opening JE,Opening JE,
Opening Journal Entry,Bút toán đầu kỳ,
Preview,Xem trước,
Purchase Invoice,Hóa đơn mua vào,
Python Import Script,Script Python import,
"Re-run AI Analyze Files — no files have an AI-generated column plan yet.","Chạy lại AI Phân tích file — chưa có file nào có kế hoạch cột từ AI.",
Sales Invoice,Hóa đơn bán ra,
Stock Reco,Stock Reco,
Stock Reconciliation,Kiểm kê kho,
Supplier,Nhà cung cấp,
Supplier/Employee,NCC/Nhân viên,
Upload,Upload,
Upload failed.,Upload thất bại.,
Upload file Excel,Upload file Excel,
Upload {0} file,Upload {0} file,
Uploaded,Đã upload,
Uploaded {0} Excel file(s) to server.,Đã upload {0} file Excel lên server.,
TK {0}: {1},TK {0}: {1},
