"_report","_báo cáo"
"Document not Relinked","Tài liệu không được liên kết lại"
"Document Queued","Tài liệu xếp hàng"
"Document renamed from {0} to {1}","Tài liệu được đổi tên từ {0} thành {1}"
"Document renaming from {0} to {1} has been queued","Việc đổi tên tài liệu từ {0} thành {1} đã được xếp hàng"
"Document Restoration Summary","Tóm tắt phục hồi tài liệu"
"Document Restored","Tài liệu đã được khôi phục"
"Document Saved","Tài liệu đã lưu"
"Document Share","Chia sẻ tài liệu"
"Document Share Key","Khóa chia sẻ tài liệu"
"Document Share Key Expiry (in Days)","Ngày hết hạn khóa chia sẻ tài liệu (tính bằng ngày)"
"Document Share Report","Báo cáo chia sẻ tài liệu"
"Document States","Tài liệu trạng thái"
"Document Status","Trạng thái tài liệu"
"Document Tag","Thẻ tài liệu"
"Document Title","Tiêu đề tài liệu"
"Document Type","Loại tài liệu"
"Document Type {0} has been repeated.","Loại tài liệu {0} đã được lặp lại."
"Document Type already used as a dimension","Loại tài liệu đã được sử dụng làm kích thước"
"Document Type and Function are required to create a number card","Loại tài liệu và chức năng là bắt buộc để tạo thẻ số"
"Document Type is not importable","Loại tài liệu không thể nhập được"
"Document Type is not submittable","Loại tài liệu không thể ghi sổ được"
"Document type is required to create a dashboard chart","Loại tài liệu là bắt buộc để tạo biểu đồ bảng thông tin quản lý"
"Document Type to Track","Loại tài liệu để theo dõi"
"document type..., e.g. customer","loại tài liệu..., ví dụ: khách hàng"
"Document Types","Các loại tài liệu"
"Document Types (Select Permissions Only)","Loại tài liệu (Chỉ chọn quyền)"
"Document Types and Permissions","Các loại tài liệu và quyền"
"Document Unlocked","Tài liệu đã được mở khóa"
"Documentation","Tài liệu"
"Documentation Link","Liên kết tài liệu"
"Documentation URL","URL tài liệu"
"Documents","Tài liệu"
"Documents Processed on each trigger. Queue Size should be between 5 and 100","Tài liệu được xử lý trên mỗi trình kích hoạt. Kích thước hàng đợi phải nằm trong khoảng từ 5 đến 100"
"Documents restored successfully","Tài liệu đã được khôi phục thành công"
"Documents that failed to restore","Tài liệu không thể khôi phục"
"Documents that were already restored","Các tài liệu đã được khôi phục"
"Documents: {0} have deferred revenue/expense enabled for them. Cannot repost.","Tài liệu: {0} đã bật tính năng doanh thu/chi phí hoãn lại. Không thể đăng lại."
"Domain","Lãnh địa"
"Domain Name","Tên miền"
"Domain Settings","Cài đặt tên miền"
"Domains","Tên miền"
"Domains HTML","Tên miền HTML"
"Don't Create Loyalty Points","Đừng tạo điểm trung thành"
"Don't encode HTML tags like &lt;script&gt; or just characters like &lt; or &gt;, as they could be intentionally used in this field","Không mã hóa các thẻ HTML như &lt;script&gt; hoặc chỉ các ký tự như &lt; hoặc &gt;, vì chúng có thể được sử dụng cố ý trong trường này"
"Don't Enforce Free Item Qty","Không áp dụng số lượng mặt hàng miễn phí"
"Don't have an account?","Bạn chưa có tài khoản?"
"Don't HTML Encode HTML tags like &lt;script&gt; or just characters like &lt; or &gt;, as they could be intentionally used in this field","Không mã hóa HTML các thẻ HTML như &lt;script&gt; hoặc chỉ các ký tự như &lt; hoặc &gt;, vì chúng có thể được sử dụng cố ý trong trường này"
"Don't Import","Không nhập dữ liệu"
"Don't Override Status","Không ghi đè trạng thái"
"Don't Reserve Sales Order Qty on Sales Return","Không giữ lại số lượng đơn hàng bán hàng khi trả lại hàng"
"Don't Send Emails","Đừng ghi sổ email"
"Done","Xong"
"Dont Recompute tax","Không tính toán lại thuế"
"Donut","Bánh rán"
"Doors","Cửa ra vào"
"Double click to edit label","Nhấp đúp để chỉnh sửa nhãn"
"Double Declining Balance","Số dư giảm dần kép"
"Download","Tải xuống"
"download","tải về"
"Download as CSV","Tải xuống dưới dạng CSV"
"Download Backups","Tải xuống bản sao lưu"
"Download CSV Template","Tải xuống Biểu mẫu CSV"
"Download Data","Tải xuống dữ liệu"
"Download Files Backup","Tải xuống tệp sao lưu"
"Download Link","Liên kết tải xuống"
"Download PDF","Tải xuống PDF"
"Download PDF for Supplier","Tải xuống PDF cho Nhà cung cấp"
"Download Report","Tải xuống báo cáo"
"Download Required Materials","Tải xuống tài liệu cần thiết"
"Download Template","Tải xuống Biểu mẫu"
"Download vCard","Tải vCard"
"Download vCards","Tải vCard"
"Download Your Data","Tải xuống dữ liệu của bạn"
"download-alt","tải xuống-alt"
"Downtime","Thời gian chết"
"Downtime (In Hours)","Thời gian ngừng hoạt động (Tính bằng giờ)"
"Downtime Analysis","Phân tích thời gian chết"
"Downtime Entry","định khoản thời gian chết"
"Downtime Reason","Lý do thời gian chết"
"Dr","Nợ"
"Dr/Cr","Nợ/Có"
"DRAFT","BẢN NHÁP"
"Draft","Bản nháp"
"Drag","Lôi kéo"
"Drag & Drop a section here from another tab","Kéo và thả một phần vào đây từ một tab khác"
"Drag and drop files here or upload from","Kéo và thả tệp vào đây hoặc tải lên từ"
"Drag columns to set order. Column width is set in percentage. The total width should not be more than 100. Columns marked in red will be removed.","Kéo các cột để sắp xếp thứ tự. Chiều rộng cột được đặt theo phần trăm. Tổng chiều rộng không được vượt quá 100. Các cột được đánh dấu màu đỏ sẽ bị xóa."
"Drag elements from the sidebar to add. Drag them back to trash.","Kéo các thành phần từ thanh bên để thêm. Kéo chúng trở lại thùng rác."
"Drag to add state","Kéo để thêm trạng thái"
"Driver","Tài xế"
"Driver Address","Địa chỉ tài xế"
"Driver Email","Email của tài xế"
"Driver licence class","Lớp bằng lái xe"
"Driver Name","Tên tài xế"
"Driving License Categories","Các hạng mặt hàng giấy phép lái xe"
"Driving License Category","Thể loại Giấy phép lái xe"
"Drop files here","Thả tập tin vào đây"
"Drop Procedures","Thủ tục thả"
"Drop Ship","Tàu thả"
"Dropdowns","Menu thả xuống"
"Drops existing SQL Procedures and Function setup by Accounts Receivable report","Xóa bỏ các thủ tục SQL hiện có và thiết lập chức năng theo báo cáo Công nợ phải thu"
"Due Date","Ngày đến hạn"
"Due Date Based On","Ngày đến hạn dựa trên"
"Due Date cannot be after {0}","Ngày đến hạn không thể sau {0}"
"Due Date cannot be before {0}","Ngày đến hạn không thể trước {0}"
"Due to stock closing entry {0}, you cannot repost item valuation before {1}","Do Bản ghi tồn kho {0}, bạn không thể đăng lại giá trị mặt hàng trước {1}"
"DUNN-.MM.-.YY.-","DUNN-MM-YY-"
"Dunning Amount","Số tiền đòi nợ"
"Dunning Amount (Company Currency)","Số tiền đòi nợ (Đơn vị tiền tệ của công ty)"
"Dunning Fee","Phí đòi nợ"
"Dunning Letter","Thư đòi nợ"
"Dunning Letter Text","Văn bản thư Dunning"
"Dunning Level","Mức độ đòi nợ"
"Dunning Type","Kiểu Dunning"
"Duplicate","Nhân bản"
"Duplicate {0} found in the table","Đã tìm thấy {0} trùng lặp trong bảng"
"Duplicate current row","Nhân đôi hàng hiện tại"
"Duplicate Customer Group","Nhóm khách hàng trùng lặp"
"Duplicate customer group found in the customer group table","Nhóm khách hàng trùng lặp được tìm thấy trong bảng nhóm khách hàng"
"Duplicate Entry","định khoản trùng lặp"
"Duplicate entry against the item code {0} and manufacturer {1}","định khoản trùng lặp với mã sản phẩm {0} và nhà sản xuất {1}"
"Duplicate Entry. Please check Authorization Rule {0}","định khoản trùng lặp. Vui lòng kiểm tra Quy tắc ủy quyền {0}"
"Duplicate field","Trường trùng lặp"
"Duplicate Filter Name","Tên bộ lọc trùng lặp"
"Duplicate Finance Book","Sổ tài chính trùng lặp"
"Duplicate Item Group","Nhóm mặt hàng trùng lặp"
"Duplicate item group found in the item group table","Tìm thấy nhóm mặt hàng trùng lặp trong bảng nhóm mặt hàng"
"Duplicate Name","Tên trùng lặp"
"Duplicate Operating Component {0} found in Operating Components","Đã tìm thấy Thành phần vận hành trùng lặp {0} trong Thành phần vận hành"
"Duplicate POS Fields","Trường POS trùng lặp"
"Duplicate POS Invoices found","Đã tìm thấy hóa đơn POS trùng lặp"
"Duplicate project has been created","Dự án trùng lặp đã được tạo"
"Duplicate Project with Tasks","Dự án trùng lặp với các nhiệm vụ"
"Duplicate Row","Hàng trùng lặp"
"Duplicate row {0} with same {1}","Nhân đôi hàng {0} với cùng {1}"
"Duplicate Sales Invoices found","Đã tìm thấy hóa đơn bán hàng trùng lặp"
"Duplicate Stock Closing Entry","Bản sao định khoản đóng tồn kho"
"Duration","Khoảng thời gian"
"Duration (Days)","Thời lượng (Ngày)"
"Duration in Days","Thời lượng tính bằng ngày"
"Duties and Taxes","Nhiệm vụ và Thuế"
"Dynamic","Năng động"
"Dynamic Condition","Điều kiện động"
"Dynamic Filters","Bộ lọc động"
"Dynamic Filters JSON","Bộ lọc động JSON"
"Dynamic Filters Section","Phần Bộ lọc động"
"Dynamic Link","Liên kết động"
"Dynamic Report Filters","Bộ lọc báo cáo động"
"Dynamic Route","Tuyến đường động"
"Dynamic Template","Biểu mẫu động"
"E-Invoicing Information Missing","Thiếu thông tin hóa đơn điện tử"
"e.g. ""Summer Holiday 2019 Offer 20""","Ví dụ: ""Ưu đãi kỳ nghỉ hè 2019 20"""
"e.g. ""Support"", Sales, Jerry Yang","ví dụ. ""Hỗ trợ"", Bán hàng, Jerry Yang"
"e.g. (55 + 434) / 4 or =Math.sin(Math.PI/2)...","ví dụ (55 + 434) / 4 hoặc =Math.sin(Math.PI/2)..."
"e.g. pop.gmail.com / imap.gmail.com","ví dụ. pop.gmail.com / imap.gmail.com"
"e.g. replies@yourcomany.com. All replies will come to this inbox.","Ví dụ: replies@yourcomany.com. Tất cả thư trả lời sẽ được ghi sổ đến hộp thư đến này."
"e.g. smtp.gmail.com","ví dụ: smtp.gmail.com"
"e.g.:","ví dụ.:"
"Each Transaction","Mỗi giao dịch"
"Earliest","Sớm nhất"
"Earliest Age","Tuổi sớm nhất"
"Earnest Money","Tiền đặt cọc"
"Edit","Chỉnh sửa"
"edit","biên tập"
"Edit {0}","Chỉnh sửa {0}"
"Edit Address in Form","Chỉnh sửa địa chỉ trong biểu Biểu mẫu"
"Edit Auto Email Report Settings","Chỉnh sửa cài đặt báo cáo email tự động"
"Edit BOM","Chỉnh sửa BOM"
"Edit Capacity","Chỉnh sửa dung lượng"
"Edit Cart","Chỉnh sửa giỏ hàng"
"Edit Chart","Chỉnh sửa biểu đồ"
"Edit Custom Block","Chỉnh sửa khối tùy chỉnh"
"Edit Custom HTML","Chỉnh sửa HTML tùy chỉnh"
"Edit DocType","Chỉnh sửa DocType"
"Edit Existing","Chỉnh sửa hiện có"
"Edit Filter","Chỉnh sửa bộ lọc"
"Edit Filters","Chỉnh sửa bộ lọc"
"Edit Footer","Chỉnh sửa chân trang"
"Edit Format","Chỉnh sửa định dạng"
"Edit Full Form","Chỉnh sửa biểu Biểu mẫu đầy đủ"
"Edit Header","Chỉnh sửa tiêu đề"
"Edit Heading","Chỉnh sửa tiêu đề"
"Edit HTML","Chỉnh sửa HTML"
"Edit Letter Head","Chỉnh sửa tiêu đề thư"
"Edit Letter Head Footer","Chỉnh sửa tiêu đề thư và chân trang"
"Edit Links","Chỉnh sửa liên kết"
"Edit mode","Chế độ chỉnh sửa"
"Edit Not Allowed","Không được phép chỉnh sửa"
"Edit Note","Chỉnh sửa ghi chú"
"Edit Number Card","Chỉnh sửa số thẻ"
"Edit Onboarding","Chỉnh sửa Onboarding"
"Edit Posting Date and Time","Chỉnh sửa Ngày và Giờ Đăng"
"Edit Print Format","Chỉnh sửa định dạng in"
"Edit Profile","Chỉnh sửa hồ sơ"
"Edit Properties","Chỉnh sửa Thuộc tính"
"Edit Quick List","Chỉnh sửa danh sách nhanh"
"Edit Receipt","Chỉnh sửa biên lai"
"Edit Shortcut","Chỉnh sửa phím tắt"
"Edit the {0} Doctype","Chỉnh sửa Doctype {0}"
"Edit to add content","Chỉnh sửa để thêm nội dung"
"Edit Values","Chỉnh sửa giá trị"
"Edit your response","Chỉnh sửa phản hồi của bạn"
"Edit your workflow visually using the Workflow Builder.","Chỉnh sửa quy trình làm việc của bạn một cách trực quan bằng Trình xây dựng quy trình làm việc."
"Editable Grid","Lưới có thể chỉnh sửa"
"Editing {0}","Chỉnh sửa {0}"
"Editing {0} is not allowed as per POS Profile settings","Không được phép chỉnh sửa {0} theo cài đặt Hồ sơ POS"
"Editing Row","Chỉnh sửa hàng"
"Education","Giáo dục"
"Educational Qualification","Trình độ học vấn"
"Eg. smsgateway.com/api/send_sms.cgi","Ví dụ: smsgateway.com/api/send_sms.cgi"
"Either 'Selling' or 'Buying' must be selected","Phải chọn 'Bán' hoặc 'Mua'"
"Either key or IP flag is required.","Cần phải có khóa hoặc cờ IP."
"Either target qty or target amount is mandatory","Số lượng mặt hàng tiêu hoặc số tiền mặt hàng tiêu là bắt buộc"
"Either target qty or target amount is mandatory.","Bắt buộc phải có số lượng hoặc số tiền mặt hàng tiêu."
"Either Workstation or Workstation Type is mandatory","Bắt buộc phải là Trạm làm việc hoặc Loại trạm làm việc"
"eject","đẩy ra"
"Electric","Điện"
"Electrical","Điện"
"Electricity","Điện"
"Electricity down","Mất điện"
"Electronic Equipment","Thiết bị điện tử"
"Electronic Invoice Register","Sổ đăng ký hóa đơn điện tử"
"Element Selector","Bộ chọn phần tử"
"Email","E-mail"
"email","e-mail"
"Email Account","Tài khoản Email"
"Email Account {0} Disabled","Tài khoản Email {0} Đã vô hiệu hóa"
"Email Account added multiple times","Tài khoản email được thêm nhiều lần"
"Email Account Disabled.","Tài khoản email đã bị vô hiệu hóa."
"Email Account Name","Tên tài khoản email"
"Email Account not setup. Please create a new Email Account from Settings > Email Account","Tài khoản Email chưa được thiết lập. Vui lòng tạo một Tài khoản Email mới từ Cài đặt > Tài khoản Email."
"Email Address","Địa chỉ email"
"Email Address (required)","Địa chỉ email (bắt buộc)"
"Email Address must be unique, it is already used in {0}","Địa chỉ email phải là duy nhất, nó đã được sử dụng trong {0}"
"Email Address whose Google Contacts are to be synced.","Địa chỉ email có Danh bạ Google cần được đồng bộ hóa."
"Email Addresses","Địa chỉ Email"
"Email Campaign","Chiến dịch Email"
"Email Campaign For","Chiến dịch email cho"
"Email Details","Chi tiết Email"
"Email Digest","Tóm tắt email"
"Email Digest Recipient","Người nhận bản tóm tắt email"
"Email Digest Settings","Cài đặt tóm tắt email"
"Email Digest: {0}","Tóm tắt email: {0}"
"Email Domain","Tên miền Email"
"Email Flag Queue","Hàng đợi cờ email"
"Email Footer Address","Địa chỉ chân trang email"
"Email Group","Nhóm Email"
"Email Group Member","Thành viên nhóm email"
"Email has been marked as spam","Email đã được đánh dấu là thư rác"
"Email has been moved to trash","Email đã được chuyển vào thùng rác"
"Email Header","Tiêu đề email"
"Email ID","ID email"
"Email Id","ID email"
"Email IDs","ID email"
"Email Inbox","Hộp thư đến Email"
"email inbox","hộp thư đến email"
"Email is mandatory to create User Email","Email là bắt buộc để tạo Email Người dùng"
"Email not sent to {0} (unsubscribed / disabled)","Email không được ghi sổ đến {0} (đã hủy đăng ký / vô hiệu hóa)"
"Email not verified with {0}","Email chưa được xác minh với {0}"
"Email or Phone/Mobile of the Contact are mandatory to continue.","Email hoặc số điện thoại/di động của người liên hệ là bắt buộc để tiếp tục."
"Email Queue","Hàng đợi email"
"Email Queue flushing aborted due to too many failures.","Quá trình xóa hàng đợi email bị hủy bỏ do có quá nhiều lỗi."
"Email queue is currently suspended. Resume to automatically send other emails.","Hàng đợi email hiện đang tạm dừng. Vui lòng tiếp tục để tự động ghi sổ email khác."
"Email Queue Recipient","Người nhận hàng đợi email"
"Email Queue records.","Bản ghi hàng đợi email."
"Email Receipt","Biên lai Email"
"Email Reply Help","Trợ giúp trả lời email"
"Email Retry Limit","Giới hạn thử lại email"
"Email Rule","Quy tắc email"
"Email Sent","Email đã ghi sổ"
"Email Sent At","Email được ghi sổ đến"
"Email sent successfully.","Email đã được ghi sổ thành công."
"Email sent to","Email đã ghi sổ đến"
"Email sent to {0}","Email đã ghi sổ đến {0}"
"Email Sent to Supplier {0}","Email đã ghi sổ cho nhà cung cấp {0}"
"Email Settings","Cài đặt Email"
"Email Signature","Chữ ký email"
"Email Status","Trạng thái Email"
"Email Sync Option","Tùy chọn đồng bộ hóa email"
"Email Template","Biểu mẫu email"
"Email Threads on Assigned Document","Sê-ri email trên tài liệu được chỉ định"
"Email To","Email đến"
"Email Unsubscribe","Hủy đăng ký email"
"Email verification failed.","Xác minh email không thành công."
"Emails","Email"
"Emails are already being pulled from this account.","Email hiện đang được lấy từ tài khoản này."
"Emails are muted","Email bị tắt tiếng"
"Emails Pulled","Email đã được kéo"
"Emails Queued","Email đã xếp hàng"
"Emails will be sent with next possible workflow actions","Email sẽ được ghi sổ kèm các hành động quy trình làm việc có thể thực hiện tiếp theo"
"Embed code copied","Đã sao chép mã nhúng"
"Emergency Contact","Liên hệ khẩn cấp"
"Emergency Contact Name","Tên liên lạc khẩn cấp"
"Emergency Phone","Điện thoại khẩn cấp"
"Employee","Nhân viên"
"Employee {0} does not belong to the company {1}","Nhân viên {0} không thuộc công ty {1}"
"Employee {0} is currently working on another workstation. Please assign another employee.","Nhân viên {0} hiện đang làm việc tại một công đoạn sản xuất khác. Vui lòng phân công một nhân viên khác."
"Employee Advance","Tiền ứng trước của nhân viên"
"Employee Advances","Tiền ứng trước của nhân viên"
"Employee cannot report to himself.","Nhân viên không thể tự báo cáo với chính mình."
"Employee Detail","Chi tiết nhân viên"
"Employee Education","Giáo dục nhân viên"
"Employee Exit","Nhân viên ra đi"
"Employee External Work History","Lịch sử công việc bên ngoài của nhân viên"
"Employee Group","Nhóm nhân viên"
"Employee Group Table","Bảng nhóm nhân viên"
"Employee ID","ID nhân viên"
"Employee Internal Work History","Lịch sử công việc nội bộ của nhân viên"
"Employee is required while issuing Asset {0}","Nhân viên được yêu cầu khi phát hành Tài sản {0}"
"Employee Name","Tên nhân viên"
"Employee Number","Số nhân viên"
"Employee User Id","ID người dùng nhân viên"
"Employees","Người lao động"
"Empty","Trống"
"empty","trống"
"Empty alias is not allowed","Không được phép sử dụng bí danh trống"
"Empty column","Cột trống"
"Empty string arguments are not allowed","Không được phép sử dụng đối số Sê-ri rỗng"
"Enable","Cho phép"
"Enable Action Confirmation","Bật Xác nhận Hành động"
"Enable Address Autocompletion","Bật tính năng tự động hoàn thành địa chỉ"
"Enable Allow Auto Repeat for the doctype {0} in Customize Form","Bật Cho phép Tự động lặp lại cho loại tài liệu {0} trong Tùy chỉnh biểu Biểu mẫu"
"Enable Allow Partial Reservation in the Stock Settings to reserve partial stock.","Bật Cho phép đặt trước một phần trong Cài đặt kho để đặt trước một phần kho."
"Enable Appointment Scheduling","Bật tính năng Lên lịch hẹn"
"Enable Auto Email","Bật Email tự động"
"Enable Auto Re-Order","Bật tính năng tự động sắp xếp lại"
"Enable Auto Reply","Bật Trả lời tự động"
"Enable Automatic Linking in Documents","Bật liên kết tự động trong tài liệu"
"Enable Automatic Party Matching","Bật tính năng ghép nhóm tự động"
"Enable Capital Work in Progress Accounting","Cho phép Kế toán Công việc đang tiến hành"
"Enable Comments","Bật bình luận"
"Enable Common Party Accounting","Kích hoạt Kế toán đối tác chung"
"Enable Cut-Off Date on Bulk Delivery Note Creation","Bật Ngày Chốt khi Tạo Phiếu Giao Hàng Số Lượng Lớn"
"Enable Deferred Expense","Kích hoạt Chi phí hoãn lại"
"Enable Deferred Revenue","Kích hoạt Doanh thu hoãn lại"
"Enable developer mode to create a standard Print Template","Bật chế độ nhà phát triển để tạo Biểu mẫu in chuẩn"
"Enable developer mode to create a standard Web Template","Bật chế độ nhà phát triển để tạo Biểu mẫu web chuẩn"
"Enable Discount Accounting for Selling","Cho phép Kế toán chiết khấu để bán"
"Enable Dynamic Client Registration","Bật Đăng ký máy khách động"
"Enable Email Notifications","Bật thông báo qua email"
"Enable European Access","Cho phép truy cập Châu Âu"
"Enable Fuzzy Matching","Kích hoạt tính năng khớp mờ"
"Enable Google API in Google Settings.","Bật Google API trong Cài đặt Google."
"Enable Google indexing","Bật lập chỉ mặt hàng của Google"
"Enable Health Monitor","Bật tính năng theo dõi sức khỏe"
"Enable if on click|||opens modal.","Bật nếu nhấp vào|||mở hộp thoại."
"Enable Immutable Ledger","Kích hoạt sổ cái bất biến"
"Enable in-app website tracking","Bật tính năng theo dõi trang web trong ứng dụng"
"Enable Incoming","Bật tính năng Đến"
"Enable it if users want to consider rejected materials to dispatch.","Bật tính năng này nếu người dùng muốn xem xét các vật liệu bị từ chối để ghi sổ đi."
"Enable Item-wise Inventory Account","Kích hoạt Tài khoản hàng tồn kho theo mặt hàng"
"Enable Onboarding","Kích hoạt Onboarding"
"Enable Outgoing","Bật ghi sổ đi"
"Enable Password Policy","Bật Chính sách Mật khẩu"
"Enable Perpetual Inventory","Kích hoạt kiểm kê liên tục"
"Enable Prepared Report","Bật báo cáo đã chuẩn bị"
"Enable Print Server","Bật Máy chủ in"
"Enable Provisional Accounting For Non Stock Items","Cho phép kế toán tạm thời cho các mặt hàng không có trong kho"
"Enable Push Notification Relay","Bật chuyển tiếp thông báo đẩy"
"Enable Rate Limit","Kích hoạt giới hạn tỷ lệ"
"Enable Raw Printing","Bật in thô"
"Enable Report","Bật báo cáo"
"Enable Scheduled Jobs","Bật công việc theo lịch trình"
"Enable Scheduler","Bật Trình lập lịch"
"Enable Security","Bật bảo mật"
"Enable Social Login","Bật Đăng nhập bằng mạng xã hội"
"Enable Stock Reservation","Kích hoạt đặt chỗ tồn kho"
"Enable this checkbox even if you want to set the zero priority","Bật hộp kiểm này ngay cả khi bạn muốn đặt mức ưu tiên bằng không"
"Enable this option to calculate daily depreciation by considering the total number of days in the entire depreciation period, (including leap years) while using daily pro-rata based depreciation","Bật tùy chọn này để tính khấu hao hàng ngày bằng cách xem xét tổng số ngày trong toàn bộ thời gian khấu hao (bao gồm cả năm nhuận) trong khi sử dụng khấu hao theo tỷ lệ hàng ngày"
"Enable to apply SLA on every {0}","Cho phép áp dụng SLA trên mọi {0}"
"Enable Tracking Page Views","Bật theo dõi lượt xem trang"
"Enable Two Factor Auth","Bật xác thực hai yếu tố"
"Enable YouTube Tracking","Bật tính năng theo dõi YouTube"
"Enabled","Đã bật"
"Enabled email inbox for user {0}","Đã bật hộp thư đến email cho người dùng {0}"
"Enabled Scheduler","Đã bật Trình lập lịch"
"Enables Calendar and Gantt views.","Cho phép xem Lịch và Gantt."
"Enabling auto reply on an incoming email account will send automated replies to all the synchronized emails. Do you wish to continue?","Bật tính năng trả lời tự động trên một tài khoản email đến sẽ ghi sổ trả lời tự động đến tất cả các email đã đồng bộ. Bạn có muốn tiếp tục không?"
"Enabling the check box will fetch timesheet on select of a Project in Sales Invoice","Bật hộp kiểm sẽ lấy bảng chấm công theo lựa chọn của Dự án trong Hóa đơn bán hàng"
"Enabling this checkbox will force each Job Card Time Log to have From Time and To Time","Bật hộp kiểm này sẽ buộc mỗi Nhật ký thời gian thẻ công việc phải có Từ thời gian và Đến thời gian"
"Enabling this ensures each Purchase Invoice has a unique value in Supplier Invoice No. field within a particular fiscal year","Việc bật tính năng này đảm bảo mỗi Hóa đơn mua hàng có một giá trị duy nhất trong trường Số hóa đơn nhà cung cấp trong một năm tài chính cụ thể"
"Enabling this option will allow you to record - <br><br> 1. Advances Received in a <b>Liability Account</b> instead of the <b>Asset Account</b><br><br>2. Advances Paid in an <b>Asset Account</b> instead of the <b> Liability Account</b>","Bật tùy chọn này sẽ cho phép bạn ghi lại - <br><br> 1. Các khoản tạm ứng được nhận vào <b>Tài khoản nợ phải trả</b> thay vì <b>Tài khoản tài sản</b><br><br>2. Các khoản tạm ứng được trả vào <b>Tài khoản tài sản</b> thay vì <b>Tài khoản nợ phải trả</b>"
"Enabling this will allow creation of multi-currency invoices against single party account in company currency","Việc bật tính năng này sẽ cho phép tạo hóa đơn đa tiền tệ đối với tài khoản của một bên theo đơn vị tiền tệ của công ty"
"Enabling this will change the way how cancelled transactions are handled.","Việc bật tính năng này sẽ thay đổi cách xử lý các giao dịch đã hủy."
"Enabling this will register your site on a central relay server to send push notifications for all installed apps through Firebase Cloud Messaging. This server only stores user tokens and error logs, and no messages are saved.","Việc bật tính năng này sẽ đăng ký trang web của bạn trên một máy chủ trung tâm để ghi sổ thông báo đẩy cho tất cả các ứng dụng đã cài đặt thông qua Firebase Cloud Messaging. Máy chủ này chỉ lưu trữ mã thông báo người dùng và nhật ký lỗi, không lưu bất kỳ thông báo nào."
"Enabling this will submit documents in background","Bật tính năng này sẽ ghi sổ tài liệu ở chế độ nền"
"Encashment Date","Ngày rút tiền"
"Encrypt Backups","Mã hóa bản sao lưu"
"Encryption key is in invalid format!","Khóa mã hóa ở định dạng không hợp lệ!"
"Encryption key is invalid! Please check site_config.json","Khóa mã hóa không hợp lệ! Vui lòng kiểm tra site_config.json"
"End","Kết thúc"
"End Date","Ngày kết thúc"
"End date cannot be before start date","Ngày kết thúc không thể trước ngày bắt đầu"
"End Date cannot be before Start Date!","Ngày kết thúc không thể trước Ngày bắt đầu!"
"End Date cannot be before Start Date.","Ngày kết thúc không thể trước Ngày bắt đầu."
"End Date cannot be today.","Ngày kết thúc không thể là ngày hôm nay."
"End Date Field","Trường Ngày kết thúc"
"End date of current invoice's period","Ngày kết thúc kỳ hóa đơn hiện tại"
"End of Life","Hết vòng đời sản phẩm"
"End of the current subscription period","Kết thúc thời hạn đăng ký hiện tại"
"End Time","Thời gian kết thúc"
"End Transit","Kết thúc quá cảnh"
"End Year","Kết thúc năm"
"End Year cannot be before Start Year","Năm kết thúc không thể trước năm bắt đầu"
"Ended At","Kết thúc tại"
"Endpoints","Điểm cuối"
"Ends on","Kết thúc vào"
"Energy Point","Điểm năng lượng"
"Enforce Time Logs","Thực thi Nhật ký thời gian"
"Enough Parts to Build","Đủ các bộ phận để xây dựng"
"Enqueued By","Đã xếp hàng bởi"
"Enqueued creation of indexes","Tạo hàng đợi các chỉ mặt hàng"
"Ensure Delivery Based on Produced Serial No","Đảm bảo giao hàng dựa trên số sê-ri đã sản xuất"
"Ensure the user and group search paths are correct.","Đảm bảo đường dẫn tìm kiếm của người dùng và nhóm là chính xác."
"Enter {0} amount.","Nhập số tiền {0}."
"Enter a name for Routing.","Nhập tên cho Định tuyến."
"Enter a name for the Operation, for example, Cutting.","Nhập tên cho Thao tác, ví dụ: Cắt."
"Enter a name for this {0}","Nhập tên cho {0} này"
"Enter a name for this Holiday List.","Nhập tên cho Danh sách ngày lễ này."
"Enter amount to be redeemed.","Nhập số tiền cần đổi."
"Enter an Item Code, the name will be auto-filled the same as Item Code on clicking inside the Item Name field.","Nhập Mã sản phẩm, tên sẽ tự động được điền giống như Mã sản phẩm khi nhấp vào trường Tên sản phẩm."
"Enter API key in Google Settings.","Nhập khóa API vào Cài đặt Google."
"Enter Client Id and Client Secret in Google Settings.","Nhập ID khách hàng và Bí mật khách hàng vào Cài đặt Google."
"Enter Code displayed in OTP App.","Nhập mã hiển thị trong ứng dụng OTP."
"Enter customer's email","Nhập email của khách hàng"
"Enter customer's phone number","Nhập số điện thoại của khách hàng"
"Enter date to scrap asset","Nhập ngày để loại bỏ tài sản"
"Enter default value fields (keys) and values. If you add multiple values for a field, the first one will be picked. These defaults are also used to set ""match"" permission rules. To see list of fields, go to ""Customize Form"".","Nhập các trường giá trị mặc định (khóa) và giá trị. Nếu bạn thêm nhiều giá trị cho một trường, giá trị đầu tiên sẽ được chọn. Các giá trị mặc định này cũng được sử dụng để thiết lập quy tắc cấp phép ""khớp"". Để xem danh sách các trường, hãy vào ""Tùy chỉnh Biểu Biểu mẫu""."
"Enter depreciation details","Nhập chi tiết khấu hao"
"Enter discount percentage.","Nhập phần trăm giảm giá."
"Enter each serial no in a new line","Nhập mỗi số sê-ri vào một dòng mới"
"Enter Email Recipient(s)","Nhập người nhận email"
