source,translated,context
T,T,Number system
B,Tỷ,Number system
M,Tr,Number system
K,N,Number system
VN Accounting,Kế Toán VN
Generated Journal Entry,Bút toán đã sinh
Source Doctype,Loại chứng từ
Source,Chứng từ
Cost Type,Loại chi phí
WIP Account (override),TK WIP (override)
Project Name,Tên công trình
Stage of Project,Giai đoạn công trình
WIP Account for Project Costing,TK tập hợp chi phí công trình
Giai đoạn công trình,Giai đoạn công trình
TK tập hợp chi phí công trình,TK tập hợp chi phí công trình
Loại chi phí,Loại chi phí
VN Deferred Revenue Schedule,Lịch ghi nhận Doanh thu chưa thực hiện
VN Deferred Revenue Schedule Line,Dòng lịch ghi nhận DT chưa thực hiện
VN Deferred Expense Schedule,Lịch phân bổ Chi phí trả trước
VN Deferred Expense Schedule Line,Dòng lịch phân bổ CP trả trước
VN Period Close,Phiếu kết chuyển định kỳ
VN Period Close Line,Dòng kết chuyển
Recognized,Đã ghi nhận
Reversed,Đã đảo bút toán
Previewed,Đã xem trước
One-shot,Một lần duy nhất
Mới VN Deferred Revenue Schedule,Mới — Lịch ghi nhận Doanh thu chưa thực hiện
Mới VN Deferred Expense Schedule,Mới — Lịch phân bổ Chi phí trả trước
Mới VN Period Close,Mới — Phiếu kết chuyển định kỳ
Generate lịch,Sinh lịch tự động
Hành động,Hành động
Ghi nhận tất cả kỳ đến hạn,Ghi nhận tất cả kỳ đến hạn
Phân bổ tất cả kỳ đến hạn,Phân bổ tất cả kỳ đến hạn
Preview các TK,Xem trước các TK
Xem phiếu kế toán,Xem phiếu kế toán
Save,Lưu
Delete all,Xóa tất cả
Duplicate rows,Sao chép dòng
Bao Cao Chi Phi Khong Duoc Tru,Báo cáo chi phí không được trừ
Quyet Toan TNDN Reconciliation,Quyết toán TNDN — Đối chiếu
Auto Generated Docs Pending,Tài liệu tự động chờ duyệt
B01-DN Bao Cao Tinh Hinh Tai Chinh,Báo cáo tình hình tài chính (B01-DN)
B02-DN Bao Cao KQHDKD,Báo cáo kết quả HĐKD (B02-DN)
B03-DN Bao Cao LCTT,Báo cáo lưu chuyển tiền tệ (B03-DN)
Bang Can Doi So Phat Sinh,Bảng cân đối số phát sinh (TT99/2025)
Bank Loan Summary,Tổng hợp khoản vay ngân hàng
Misa Account Conflicts,Xung đột tài khoản Misa
Project Cost Collection,Tập hợp chi phí dự án
Project Invoicing Progress,Tiến độ xuất hóa đơn
Project PnL Detailed,Lãi lỗ chi tiết theo dự án
Purchase No VAT,Mua không VAT
S21-DN,Sổ tài sản cố định (S21-DN)
S21-DN So TSCD,Sổ chi tiết TSCĐ (S21-DN)
S22-DN Theo Doi TSCD CCDC,Sổ theo dõi TSCĐ & CCDC (S22-DN)
So Quy Chi Nhanh,Sổ quỹ chi nhánh
Term Deposit Summary,Tổng hợp tiền gửi có kỳ hạn
vat_return_01_gtgt,Tờ khai thuế GTGT (01/GTGT)
